folder,name,gtfs_match,gtfs_stop_id,gtfs_stop_name,dist_gtfs_point_m,n_vertices,centroid_lat,centroid_lon,area_m2,mar_length_m,mar_width_m,aspect_ratio,rect_fill,bearing_mar_deg,bearing_pca_area_deg,elongation_pca,line_bearing_shape_proj_deg,dist_centroid_to_track_m,diff_pca_vs_track_deg,bearing_longest_edge_deg,longest_edge_m,bbox_w_m,bbox_h_m,line_bearing_kml_seg_deg,diff_kml_seg_deg
Line 4,Santa Anita,exacto+linea,0200L4-SNTAANITA,Santa Anita,13.0,66,19.4029745,-99.121615,4565.8,166.8,97.6,1.71,0.28,13.3,19.1,2.52,2.3,8.1,16.8,2.3,92.7,127.5,161.9,2.3,11.0
Line 5,Politecnico,exacto+linea,0200L5-POLITECNICO,Politécnico,6.8,32,19.5006208,-99.1491946,4713.9,155.5,92.5,1.68,0.328,2.6,160.8,2.71,159.2,1.2,1.6,159.9,49.3,95.2,157.0,159.7,22.9
Line 5,Instituto del Petroleo,exacto+linea,0200L5-ITOPETROLEO,Instituto del Petróleo,3.0,38,19.4893608,-99.1447285,5806.6,199.0,94.5,2.11,0.309,143.5,157.4,3.81,159.4,1.0,2.0,159.9,133.2,116.3,190.6,159.7,16.2
Line 5,Autobuses del Norte,exacto+linea,0200L5-AUTOBUSESNTE,Autobuses del Norte,5.4,38,19.4790217,-99.1406425,4356.3,159.7,110.0,1.45,0.248,11.5,159.3,2.6,159.4,1.1,0.1,159.7,44.6,113.3,172.0,159.7,31.8
Line 5,La Raza,exacto+linea,0200L5-LARAZA,La Raza,51.1,36,19.4694406,-99.1369412,7325.9,311.5,173.2,1.8,0.136,71.0,53.2,2.12,146.7,51.1,86.5,36.8,144.1,265.6,252.9,156.9,85.9
Line 5,Misterios,exacto+linea,0200L5-MISTERIOS,Misterios,24.4,29,19.4629737,-99.1300577,4725.1,157.2,68.8,2.28,0.437,114.7,122.5,2.8,122.1,3.0,0.4,122.3,74.4,143.5,115.1,118.7,4.0
Line 5,Valle Gomez,exacto+linea,0200L5-VALLEGOMEZ,Valle Gómez,48.3,30,19.4590127,-99.1199243,4696.2,153.3,61.1,2.51,0.501,110.1,109.2,3.38,,,,109.6,74.0,155.9,84.6,111.6,1.5
Line 5,Consulado,exacto+linea,0200L5-CONSULADO,Consulado,42.9,44,19.4555257,-99.1135347,7489.4,337.5,127.3,2.65,0.174,170.7,172.4,2.84,130.3,33.0,42.1,13.1,228.1,144.3,334.2,130.7,40.0
Line 5,Eduardo Molina,exacto+linea,0200L5-EDUARDOMOLI,Eduardo Molina,2.9,31,19.4513876,-99.1053242,3041.5,179.6,63.5,2.83,0.267,125.7,111.4,5.11,111.1,2.0,0.3,111.2,89.7,173.8,73.5,116.3,9.4
Line 5,Aragon,exacto+linea,0200L5-ARAGON,Aragón,6.0,32,19.4512341,-99.0962601,3056.5,178.4,60.0,2.97,0.285,53.0,68.3,5.01,68.3,0.3,0.0,68.6,85.1,173.1,75.2,68.2,15.2
Line 5,Oceania,exacto+linea,0200L5-OCEANIA,Oceanía,42.1,41,19.4446744,-99.0867073,3057.7,186.9,64.0,2.92,0.256,168.6,158.4,4.4,156.3,0.5,2.1,157.0,91.8,79.4,176.4,164.4,4.2
Line 5,Terminal Aerea,exacto+linea,0200L5-TNALAEREA,Terminal Aérea,44.8,29,19.4339543,-99.0883446,4993.9,205.7,79.4,2.59,0.306,31.1,32.9,2.59,39.0,2.8,6.1,26.4,82.4,127.5,186.3,35.1,4.0
Line 5,Hangares,exacto+linea,0200L5-HANGARES,Hangares,13.3,20,19.4242826,-99.0880255,4454.2,153.3,58.6,2.62,0.496,121.8,122.0,2.56,121.8,0.4,0.2,121.6,71.5,139.1,93.8,122.5,0.7
Line 5,Pantitlan,exacto+linea,0200L5-PANTITLAN,Pantitlán,64.7,86,19.4155322,-99.0739181,11349.7,366.8,195.4,1.88,0.158,25.2,31.5,2.16,121.6,64.0,89.9,7.7,213.4,279.0,349.4,121.9,83.3
Line 6,El Rosario,exacto+linea,0200L6-ELROSARIO,El Rosario,15.6,14,19.5046664,-99.1996264,6422.1,270.6,116.1,2.33,0.204,45.6,35.5,2.47,17.1,15.6,18.4,17.1,189.3,203.5,196.6,15.3,30.3
Line 6,Tezozomoc,exacto+linea,0200L6-TEZOZOMOC,Tezozómoc,5.1,29,19.4949205,-99.1960639,4237.5,152.0,60.9,2.49,0.458,108.5,109.6,2.19,,,,109.6,50.8,146.6,71.5,110.8,2.3
Line 6,Azcapotzalco,SIN MATCH,,,,20,19.4908844,-99.1862653,4540.6,153.9,49.7,3.1,0.594,107.4,106.8,2.89,,,,107.4,37.1,150.0,62.6,110.0,2.6
Line 6,Ferreria,SIN MATCH,,,,15,19.4906457,-99.1742116,4966.5,155.9,53.4,2.92,0.597,78.6,74.8,2.9,78.4,1.7,3.6,77.9,69.4,155.7,68.1,78.3,0.3
Line 6,Norte 45,exacto+linea,0200L6-NORTE45,Norte 45,0.7,20,19.4886698,-99.1629967,4787.2,158.6,53.1,2.99,0.568,118.7,119.7,2.83,119.3,0.5,0.4,118.6,50.1,145.8,91.6,111.2,7.5
Line 6,Vallejo,exacto+linea,0200L6-VALLEJO,Vallejo,3.6,20,19.4898307,-99.1560273,4850.6,159.4,51.5,3.09,0.591,54.3,55.2,3.47,,,,54.3,44.2,141.4,105.7,52.7,1.6
Line 6,Instituto del Petroleo,exacto+linea,0200L6-ITOPETROLEO,Instituto del Petróleo,44.1,40,19.4909268,-99.1477268,8916.5,407.6,56.0,7.27,0.39,101.9,104.6,7.48,,,,102.3,164.1,397.8,130.1,102.0,0.1
Line 6,Lindavista,exacto+linea,0200L6-LINDAVISTA,Lindavista,6.0,20,19.4880561,-99.1350691,4460.0,153.6,52.2,2.94,0.557,116.6,116.4,3.21,115.6,5.5,0.8,116.6,68.8,144.1,87.5,112.4,4.2
Line 6,Deportivo 18 de Marzo,exacto+linea,0200L6-DTVO18MARZO,Deportivo 18 de Marzo,27.2,30,19.4835666,-99.1250577,7142.5,214.4,130.9,1.64,0.255,142.9,141.5,1.78,104.4,15.2,37.1,103.7,102.8,165.9,183.9,104.3,38.6
Line 6,La Villa,SIN MATCH,,,,20,19.4816886,-99.1183996,5249.7,152.7,46.0,3.32,0.747,95.6,99.6,3.15,93.8,5.4,5.8,95.1,109.5,152.3,56.8,95.6,0.0
Line 6,Martin Carrera,exacto+linea,0200L6-MARTINCARR,Martín Carrera,73.3,26,19.4827624,-99.1068079,7820.3,188.6,91.1,2.07,0.455,82.1,87.2,2.15,,,,105.3,64.9,188.0,97.7,103.9,21.8
Line 7,El Rosario,exacto+linea,0200L7-ELROSARIO,El Rosario,5.0,28,19.5046965,-99.2001095,7030.4,219.3,53.2,4.13,0.603,16.5,17.1,6.02,17.4,2.0,0.3,16.9,89.0,90.7,217.9,17.0,0.5
Line 7,Aquiles Serdan,exacto+linea,0200L7-AQUILESSERD,Aquiles Serdán,21.4,125,19.4908159,-99.1954314,5130.4,145.1,116.9,1.24,0.302,116.5,142.0,1.24,143.8,5.0,1.8,143.3,108.9,131.1,144.3,143.5,27.0
Line 7,Camarones,exacto+linea,0200L7-CAMARONES,Camarones,1.5,113,19.4790966,-99.1900428,5464.4,136.9,96.3,1.42,0.414,35.7,3.0,1.46,,,,3.1,73.3,105.1,153.8,2.3,33.4
Line 7,Refineria,exacto+linea,0200L7-REFINERIA,Refinería,26.5,125,19.4692325,-99.1904999,5801.2,152.6,93.2,1.64,0.408,24.0,14.9,1.72,,,,3.0,53.1,96.3,152.0,2.5,21.5
Line 7,Tacuba,exacto+linea,0200L7-TACUBA,Tacuba,31.4,22,19.458246,-99.1874685,5887.1,162.5,152.1,1.07,0.238,103.9,118.2,1.56,11.7,31.0,73.5,103.6,131.2,169.4,159.5,14.1,89.8
Line 7,San Joaquin,exacto+linea,0200L7-SANJOAQUIN,San Joaquín,6.3,77,19.4449556,-99.1917868,5280.6,122.3,119.7,1.02,0.361,144.8,7.0,1.3,,,,7.1,53.9,117.9,152.9,9.9,45.1
Line 7,Polanco,exacto+linea,0200L7-POLANCO,Polanco,6.4,91,19.4335865,-99.1909774,5885.3,142.7,126.3,1.13,0.326,52.5,87.3,1.26,,,,6.5,71.6,162.2,153.0,5.3,47.2
Line 7,Auditorio,exacto+linea,0200L7-AUDITORIO,Auditorio,90.8,107,19.4251149,-99.1925589,6601.6,186.5,112.5,1.66,0.314,148.7,152.9,1.4,,,,12.1,96.7,136.3,196.9,9.5,40.8
Line 7,Constituyentes,exacto+linea,0200L7-CONSTITUYENTES,Constituyentes,22.1,102,19.4115737,-99.1913207,5815.5,149.6,92.8,1.61,0.419,156.5,161.5,1.54,159.9,4.4,1.6,158.5,94.0,100.7,155.9,168.5,12.0
Line 7,Tacubaya,exacto+linea,0200L7-TACUBAYA,Tacubaya,4.0,81,19.4022056,-99.1867159,5873.5,165.3,113.8,1.45,0.312,116.8,102.0,1.43,151.8,4.4,49.8,152.1,72.3,173.8,142.1,154.2,37.4
Line 7,San Pedro de los Pinos,exacto+linea,0200L7-SANPEDROPINOS,San Pedro de los Pinos,6.4,116,19.3914395,-99.1858392,4491.9,127.7,108.2,1.18,0.325,45.4,9.4,1.47,,,,6.1,95.6,104.0,153.5,5.1,40.3
Line 7,San Antonio,exacto+linea,0200L7-SANANTONIO,San Antonio,33.9,115,19.384642,-99.1866478,4585.9,125.3,110.5,1.13,0.331,145.4,166.6,1.34,,,,6.9,74.1,110.7,153.9,5.4,40.0
Line 7,Mixcoac,exacto+linea,0200L7-MIXCOAC,Mixcoac,4.3,98,19.3762301,-99.1876055,5198.8,123.6,114.0,1.08,0.369,145.4,160.0,1.13,,,,7.3,72.8,133.0,154.3,5.4,40.0
Line 7,Barranca del Muerto,exacto+linea,0200L7-BARRANCA,Barranca del Muerto,8.4,84,19.3615754,-99.1892537,4918.0,121.5,113.2,1.07,0.358,47.3,1.1,1.08,,,,4.9,71.5,132.9,152.7,7.0,40.3
Line 8,Garibaldi,SIN MATCH,,,,51,19.4438819,-99.1388643,6088.3,153.3,127.5,1.2,0.312,38.2,28.9,1.51,34.0,19.7,5.1,9.3,69.2,123.7,179.5,41.4,3.2
Line 8,Bellas Artes,exacto+linea,0200L8-BELLASARTES,Bellas Artes,36.4,71,19.43681,-99.1406943,4761.9,194.0,133.2,1.46,0.184,9.1,35.4,2.27,,,,8.8,76.7,160.7,176.9,7.8,1.3
Line 8,Sam Juan de Letran,SIN MATCH,,,,20,19.4315609,-99.1413503,3547.1,153.9,52.9,2.91,0.436,8.6,10.3,2.9,,,,7.9,67.3,58.0,153.8,7.8,0.8
Line 8,Salto del Agua,exacto+linea,0200L8-SALTOAGUA,Salto del Agua,68.4,128,19.4273267,-99.1423504,6482.0,293.3,137.7,2.13,0.161,56.5,54.5,2.42,11.3,44.8,43.2,10.3,53.6,242.6,198.6,11.1,45.4
Line 8,Doctores,exacto+linea,0200L8-DOCTORES,Doctores,14.2,36,19.4214227,-99.1432042,3508.5,150.4,59.0,2.55,0.395,20.0,6.0,3.4,7.2,0.2,1.2,6.9,62.4,59.6,152.8,5.0,15.0
Line 8,Obrera,exacto+linea,0200L8-OBRERA,Obrera,2.7,36,19.4132162,-99.1440442,3386.7,148.6,59.4,2.5,0.384,24.0,6.2,3.21,173.9,0.4,12.3,8.3,52.3,60.3,153.3,6.4,17.6
Line 8,Chabacano,exacto+linea,0200L8-CHABACANO,Chabacano,11.9,38,19.4101152,-99.1338018,5060.1,147.8,143.2,1.03,0.239,154.1,76.6,1.12,,,,8.6,88.7,156.5,147.0,93.3,60.8
Line 8,La Viga,exacto+linea,0200L8-LAVIGA,La Viga,14.5,30,19.4065801,-99.1262592,3850.4,152.3,63.3,2.41,0.4,179.8,169.2,2.61,166.9,1.9,2.3,169.6,62.9,63.3,152.3,167.1,12.7
Line 8,Santa Anita,exacto+linea,0200L8-STAANITA,Santa Anita,13.6,47,19.4040057,-99.1206136,4275.2,198.5,87.8,2.26,0.245,80.8,89.2,2.01,114.8,10.9,25.6,111.9,76.5,194.7,93.0,102.4,21.6
Line 8,Coyuya,exacto+linea,0200L8-COYUYA,Coyuya,1.0,28,19.3982981,-99.1134895,2814.3,187.4,50.1,3.74,0.3,178.1,177.5,6.78,177.1,1.0,0.4,178.1,61.4,51.0,187.4,172.1,6.0
Line 8,Iztacalco,exacto+linea,0200L8-IZTACALCO,Iztacalco,2.4,28,19.3883103,-99.1121183,2910.1,185.5,60.7,3.06,0.259,4.3,167.7,6.17,168.3,0.2,0.6,167.8,68.5,60.5,188.7,161.8,22.5
Line 8,Apatlaco,exacto+linea,0200L8-APATLACO,Apatlaco,2.2,28,19.3790804,-99.1094932,3101.3,190.1,48.2,3.95,0.339,149.9,159.0,6.99,159.2,1.1,0.2,159.2,71.4,73.3,182.0,160.7,10.8
Line 8,Aculco,exacto+linea,0200L8-ACULCO,Aculco,4.0,28,19.3732436,-99.1077134,2848.1,197.2,51.8,3.81,0.279,179.8,178.1,7.16,177.4,0.9,0.7,177.6,96.5,51.8,197.2,178.3,1.5
