x,y,class,href,texto,x_texto,y_texto,text_anchor,transform,color
44,60,linea3,                                                    #clg-a0c965,Ninos Heroes,43.25,60,end,,#a0c965
44,63,linea3,                                                    #clg-a0c965,Hospital General,43.25,63,end,,#a0c965
44,69,linea3,                                                    #clg-xf-a0c965,Centro Medico,45.5,69,,rotate(-45),#a0c965
44,73,linea3,                                                    #clg-a0c965,Etiopia,44.75,73,,,#a0c965
44,76,linea3,                                                    #clg-a0c965,Eugenia,44.75,76,,,#a0c965
44,79,linea3,                                                    #clg-a0c965,Division del Norte,44.75,79,,,#a0c965
44,83,linea3,                                                    #clg-xf-a0c965,Zapata,45.5,83,,rotate(45),#a0c965
44,86,linea3,                                                    #clg-a0c965,Coyoacan,43.25,86,end,,#a0c965
44,89,linea3,                                                    #clg-a0c965,Viveros - Derechos Humanos,43.25,89,end,,#a0c965
44,92,linea3,                                                    #clg-a0c965,Miguel Angel de Quevedo,43.25,92,end,,#a0c965
44,95,linea3,                                                    #clg-a0c965,Copilco,43.25,95,end,,#a0c965
44,98,linea3,                                                    #clg-a0c965,Universidad,43.25,98,end,,#a0c965
47,29,linea5,                                                    #clg-fff200,Autobuses del Norte,46.25,29,end,,#fff200
50,26,linea6,                                                    #clg-ff0800,Linda Vista,50.75,26,,rotate(-45),#ff0800
50.5,32.5,linea5,                                                #clg-xf-fff200,La Raza,49,32.5,end,,#fff200
50,43,linea8,                                                    #clg-xf-00be00,Garibaldi,51.5,42.5,,rotate(-45),#00be00
50,47,linea8,                                                    #clg-xf-00be00,Bellas Artes,48.5,47,end,rotate(-45),#00be00
50,52,linea8,                                                    #clg-00be00,San Juan de Letran,50.75,52,,rotate(-45),#00be00
50,57,linea1,                                                    #clg-xf-ff9cce,Salto del Agua,51.5,57,,rotate(-45),#ff9cce
52,61,linea8,                                                    #clg-00be00,Doctores,51.25,61,end,,#00be00
52,69,linea9,                                                    #clg-92535d,Lazaro Cardenas,52.75,69,,rotate(45),#92535d
52,85,linea12,                                                   #clg-fff0b5,Parque de los Venados,51.25,85,end,rotate(-45),#fff0b5
53,35,linea5,                                                    #clg-fff200,Misterios,54.5,35,,,#fff200
55,17,linea3,                                                    #clg-xf-a0c965,Indios Verdes,56.5,17,,,#a0c965
55,26,linea3,                                                    #clg-xf-a0c965,Deportivo 18 de Marzo,56.5,26,,rotate(-45),#a0c965
55,57,linea1,                                                    #clg-ff9cce,Isabel la Catolica,55.75,57,,rotate(-45),#ff9cce
55,64,linea8,                                                    #clg-00be00,Obrera,55.75,64,,,#00be00
55,88,linea12,                                                   #clg-fff0b5,Eje Central,54.25,88,end,rotate(-45),#fff0b5
56,43,lineaB,                                                    #clg-a4a5a7,Lagunilla,57,43,,rotate(-45),#a4a5a7
56,49,linea2,                                                    #clg-005fff,Allende,56.75,49,,,#005fff
60,54,linea2,                                                    #clg-005fff,Zocalo,60.75,53.5,,,#005fff
60,57,linea1,                                                    #clg-xf-ff9cce,Pino Suarez,58.5,57,end,rotate(-45),#ff9cce
60,64,linea2,                                                    #clg-005fff,San Antonio Abad,60.75,64,,rotate(-45),#005fff
60,69,linea8,                                                    #clg-xf-00be00,Chabacano,61.5,69,,rotate(-45),#00be00
60,74,linea2,                                                    #clg-005fff,Viaducto,60.75,74,,,#005fff
60,77,linea2,                                                    #clg-005fff,Xola,59.25,77,end,,#005fff
60,80,linea2,                                                    #clg-005fff,Villa de Cortes,59.25,80,end,,#005fff
60,83,linea2,                                                    #clg-005fff,Nativitas,59.25,83,end,,#005fff
60,86,linea2,                                                    #clg-005fff,Portales,59.25,86,end,,#005fff
60,89,linea12,                                                   #clg-xf-fff0b5,Ermita,61.5,89,,rotate(-45),#fff0b5
60,92,linea2,                                                    #clg-005fff,General Anaya,59.25,92,end,,#005fff
60,95,linea2,                                                    #clg-005fff,Tasquena,59.25,95,end,,#005fff
62,37,linea5,                                                    #clg-fff200,Valle Gomez,62.75,37,,rotate(-45),#fff200
63,26,linea6,                                                    #clg-ff0800,La Villa Basílica,64.5,26,,rotate(-45),#ff0800
63,43,lineaB,                                                    #clg-a4a5a7,Tepito,62.25,43,end,rotate(-45),#a4a5a7
63,72,linea8,                                                    #clg-00be00,La Viga,63.75,72,,,#00be00
65,56,linea1,                                                    #clg-ff9cce,Merced,65.75,56,,,#ff9cce
